team,GAME_DATE,pts_5,reb_5,ast_5,win_pct_5,days_rest,back2back,home,opp,W
ATL,2024-10-30,117.6,42.6,26.8,0.4,2.0,0,0,WAS,0
ATL,2024-11-01,116.6,41.6,27.8,0.2,2.0,0,1,SAC,0
ATL,2024-11-03,116.8,42.0,28.6,0.2,2.0,0,0,NOP,1
ATL,2024-11-04,114.6,40.8,28.4,0.2,1.0,1,1,BOS,0
ATL,2024-11-06,115.0,42.6,28.2,0.4,2.0,0,1,NYK,1
ATL,2024-11-08,115.2,43.2,28.6,0.4,2.0,0,0,DET,0
ATL,2024-11-09,114.8,43.0,28.8,0.4,1.0,1,1,CHI,0
ATL,2024-11-12,113.0,43.6,30.0,0.4,3.0,0,0,BOS,1
ATL,2024-11-15,120.2,46.0,31.0,0.6,3.0,0,1,WAS,1
ATL,2024-11-17,118.0,45.8,30.8,0.4,2.0,0,0,POR,0
ATL,2024-11-18,115.6,44.4,31.6,0.6,1.0,1,0,SAC,1
ATL,2024-11-20,112.4,49.6,30.8,0.6,2.0,0,0,GSW,0
ATL,2024-11-22,113.4,49.2,30.2,0.4,2.0,0,0,CHI,0
ATL,2024-11-25,111.4,46.0,31.0,0.2,3.0,0,1,DAL,0
ATL,2024-11-27,116.4,46.8,32.8,0.4,2.0,0,0,CLE,1
ATL,2024-11-29,118.0,50.0,32.6,0.4,2.0,0,1,CLE,1
ATL,2024-11-30,120.0,46.8,32.6,0.6,1.0,1,0,CHA,1
ATL,2024-12-02,120.4,48.6,32.2,0.8,2.0,0,1,NOP,1
ATL,2024-12-04,120.4,51.6,31.6,1.0,2.0,0,0,MIL,1
ATL,2024-12-06,120.2,51.0,31.8,1.0,2.0,0,1,LAL,1
ATL,2024-12-08,119.0,49.4,30.4,0.8,2.0,0,1,DEN,0
ATL,2024-12-11,119.2,51.2,30.4,0.8,3.0,0,0,NYK,1
ATL,2024-12-14,114.8,49.8,29.0,0.6,3.0,0,0,MIL,0
ATL,2024-12-19,116.2,49.6,29.6,0.4,5.0,0,0,SAS,0
ATL,2024-12-21,111.8,48.2,27.4,0.2,2.0,0,1,MEM,0
ATL,2024-12-23,113.0,46.8,27.6,0.4,2.0,0,1,MIN,1
ATL,2024-12-26,119.6,44.0,28.6,0.4,3.0,0,1,CHI,1
