team,GAME_DATE,pts_5,reb_5,ast_5,win_pct_5,opp_win_pct_5,fg_pct_5,fg3_pct_5,ft_pct_5,pace_5,days_rest,back2back,home,opp,W
ATL,2025-03-30,125.4,41.8,33.4,0.6,0.4,0.4708,0.3388,0.8184000000000001,100.28,3.0,0,0,MIL,1
ATL,2025-04-05,118.6,41.6,28.4,0.2,0.6,0.4556,0.3508,0.7968,102.24000000000001,3.0,0,1,NYK,0
BKN,2024-11-01,118.8,41.0,28.6,0.6,0.4,0.5248,0.4064,0.8020000000000002,101.12,2.0,0,1,CHI,1
BKN,2024-11-03,117.0,39.0,28.8,0.6,0.8,0.5114,0.41479999999999995,0.8336,99.52000000000001,2.0,0,1,DET,0
BKN,2024-11-13,106.2,40.8,24.6,0.4,0.6,0.48819999999999997,0.3718,0.8582000000000001,95.44000000000001,2.0,0,1,BOS,0
BKN,2024-11-15,109.4,40.8,24.4,0.2,0.8,0.4862,0.3766,0.8119999999999999,96.84,2.0,0,0,NYK,0
BKN,2024-11-17,109.4,37.6,25.8,0.2,1.0,0.48980000000000007,0.371,0.8055999999999999,93.64000000000001,2.0,0,0,NYK,0
BKN,2024-11-19,112.6,37.6,27.8,0.4,0.0,0.5046,0.386,0.787,94.72,2.0,0,1,CHA,1
BKN,2024-11-29,112.2,35.6,25.8,0.6,0.8,0.4760000000000001,0.3498,0.8318,96.44,2.0,0,1,ORL,0
BKN,2024-12-01,111.0,35.4,24.0,0.6,0.8,0.5035999999999999,0.4074,0.82,97.56,2.0,0,1,ORL,0
BKN,2024-12-02,109.8,37.4,24.0,0.4,0.4,0.5226,0.42780000000000007,0.7716000000000001,99.56,1.0,1,0,CHI,0
BKN,2024-12-08,101.2,36.4,22.6,0.2,0.4,0.5272,0.40680000000000005,0.7316,96.52000000000001,4.0,0,1,MIL,0
BKN,2024-12-13,105.0,37.6,24.2,0.2,0.4,0.5178,0.396,0.7617999999999999,98.52000000000001,5.0,0,0,MEM,0
BKN,2024-12-16,106.8,38.0,25.4,0.2,0.6,0.5044000000000001,0.3798,0.8168,98.96,3.0,0,1,CLE,0
BKN,2024-12-23,102.0,44.2,24.0,0.2,0.6,0.4666,0.3548,0.8577999999999999,99.67999999999999,2.0,0,0,MIA,0
BKN,2024-12-26,100.4,43.6,23.0,0.4,0.4,0.44960000000000006,0.32080000000000003,0.8465999999999999,98.72,3.0,0,0,MIL,1
BKN,2024-12-29,97.6,42.6,23.2,0.2,0.8,0.46299999999999997,0.2918,0.8488,96.8,2.0,0,0,ORL,0
BKN,2025-01-01,101.4,39.0,24.0,0.2,0.6,0.4915999999999999,0.3286,0.797,97.24,3.0,0,0,TOR,0
BKN,2025-01-02,105.0,40.8,24.6,0.4,0.2,0.505,0.3492,0.8161999999999999,98.08,1.0,1,0,MIL,1
